Название региона:,Республика Карелия,,,,,,,,,
Культура,"Молодая вепсская литература связана с именами Ни­колая Абрамова, Алевтины Андреевой, Михаила Башни­на, Анатолия Петухова. В 2001 г. состоялась первая все­ мирная конференция вепсских писателей и поэтов в г. Кухмо. Изданы на CD-дисках вепсские сказки «Vep­sän rahvahan sarnad». Самым крупным в жанровом отношении поэтическим произведением на сегодняшний момент является поэма «Virantanaz» («Вирантаназ», 2012) Н. Зайцевой, в которой фольклорные мотивы переплетаются с диалогами, песнями, похоронными и свадебными плачами.
В 2019 г. по данным Российской книжной палаты на карельском было выпущено 11 книг общим тиражом 4550 экземпляров, а на вепском — 3 книги общим тира­жом 900 экземпляров.
В Карелии существует множество музыкальных коллективов и исполнителей, исполняющих песни на национальных языках. Одним из самых известных и старейших в Карелии народных ансамблей является «Кантеле», участники которого исполняют народные песни и танцы на карельском и вепсском языках. 
Что касается кино, был создан видеофильм «Vepsan sai», представляющий со­бой художественную реконструкцию вепсского свадеб­ного обряда. Все роли в фильме сыграли жители вепс­ ских сел, не забывшие язык предков. Создан научно­-популярный телефильмм на вепсском языке «Živatad vepsläižiden elos». В 2008 г. были созданы фильмы «Животные в жизни вепсов» и «Жизнь вепсско­го дома» на вепсском языке. ","1. ЯО: с. 105, 207
2. http://www.finnougoria.ru/logos/lit_kritika/1415/14021/
3. http://www.bookchamber.ru/statistics.html",,,,,,,,
образование,"Вепсский язык используется в учебной и методической литерату­ре: созданы букварь, учебники, книги для чтения, грам­матика вепсского языка, сборники текстов, учебный сло­варь, словари литературного языка, разговорник. В 1991 г. опубликованы букварь «Abekirj» и учебник для 2 класса «Lugem i pagižem vepsäks», подготовленные Н. Зайцевой и М. Муллонен.
В Центре народного творчества в Петрозаводске можно записаться на курсы любого из трех диалектов карельского языка.","1. ЯО: с. 105, 206
2. https://pandia.ru/text/78/024/5226.php
3. https://mel.fm/shkola/1824975-karelian_language
4. http://old.gov.karelia.ru/Power/Committee/National/veps.html
5. https://rus4all.ru/vep/",,,,,,,,
наука ,"Были выпущены следующие словари и справочники: Учебный вепсско­-русско­-вепсский словарь, Новый русско­-вепс­ский словарь и Новый вепсско­-русский словарь литера­турного языка, а также разговорник вепсского языка.
Проблемами карельского и вепсского языков, его изучением и развитием занима­ются Институт языка, литературы и истории КарНЦ РАН, Петрозаводский государственный университет и Карельская государственная педаго­гическая академия.
Из современных работ об этих языках можно отметить ""Очерки вепсской диалектологии (лингвогеографический аспект)"" (Зайцева, 2016).","1. ЯО: с. 105, 206
2. https://www.elibrary.ru/item.asp?id=41460604
3. https://www.elibrary.ru/item.asp?id=27336016",,,,,,,,
СМИ," «Kipinä» («Искорка») – детский ежемесячный, выходит также на финском и вепсском языках. С 1993 г.  на вепсском языке издается ежемесячная газета """"Kodima"""" («Родная земля») на 8 полосах тиражом 600 экземпляров. С 2009 г. на карельском языке по телевидению транслируются новости ""Viestit Karjala"" (ГТРК ""Карелия""). Некоторые новостные репортажи в этой передаче выпускаются на вепсском языке. ","1. ЯО: с. 105, 206
2. http://omamua.ru
3. https://petrsu.ru/news/2019/68022/vepsskii-yazyk--tcha
",,,,,,,,
Судо- и делопроизводство,"Вепсский может использоваться органами местного самоуправления, также в Карелии допускается возможность ведения официального делопроизводства, а также публикации законов и других нормативно-правовых актов на карельском и вепсском. На самом деле, это право не реализуется, используется только русский язык. На вепсский переведена Всеобщая декларация прав человека.","1. ЯО: с. 106, 207
2. http://docs.cntd.ru/document/919316706
3. http://www.indigenous.ru/dec/dec_kar.pdf
4. http://www.indigenous.ru/dec/dec_vep.pdf",,,,,,,,
городская среда,"Названия сел и деревень бывшей Вепсской нацио­нальной волости Карелии, находящейся на границе с Ленинградской областью, можно прочитать на двух язы­ках – русском и вепсском. ","ЯО: с. 106, 207",,,,,,,,
интернет,"В социальной сети ""Вконтакте"" существуют сообщества, посвящённые изучению вепсского. 
Были разработаны дистанционные курсы для изучения вепсского.
Под руководском Н. Г. Зайцевой создан ""Корпус вепсского языка"". ","https://vk.com/everydayveps, http://rkperiodika.ru/sobytiya/2015-god/item/715-kursy-karelskogo-i-vepsskogo-yazykov-teper-v-internete, http://vepsian.krc.karelia.ru/about/  ",,,,,,,,
"документы, касающиеся языковой политики","Пункт 2 статьи 11 Конституции Республики Карелия: ""В Республике Карелия народам, проживающим на ее территории, гарантируется право на сохранение родного языка, создание условий для его изучения и развития"". Закон Республики Карелия ""О государственной поддержке карельского, вепсского и финского языков в Республике Карелия"" от 19 марта 2004 года N 759-ЗРК.","1. http://old.gov.karelia.ru/gov/Constitution/mlaw01_c.html
2. http://docs.cntd.ru/document/919316706",,,,,,,,
,,,,,,,,,,
Язык,Самоназвание,Письменность,Витальность,Юридический статус,Общее число носителей в РФ,Диалекты,Семья и ветвь ,Регион традиционного распространения,"Регионы, в которых этот язык встречается",
вепсский,vepsän,латиница,6b (Threatened),"официальный, язык коренного малочисленного народа Севера",3613,"Северновепсский, средневепсский и южновепсский",финно-угорская ветвь < уральская семья,"Районами расселения вепсов являются Прионежский (Карелия), Подпорожский, Лодейнопольский, Боксито­горский, Тихвинский (Ленинградская обл.) и Бабаев­ский и Вытегорский (Вологодская обл.). Часть вепсов проживает в Сибири – в Иркутской и Кемеровской обл. В Карелии вепсские поселения расположены на юго­-западном побережье Онежского озера. ","Республика Карелия
Вологодская область",
ссылки,http://web-corpora.net/wsgi3/minorlangs/view/vep,http://web-corpora.net/wsgi3/minorlangs/view/vep,https://www.ethnologue.com/language/vep,"1. http://web-corpora.net/wsgi3/minorlangs/view/vep
2. http://docs.cntd.ru/document/919316706",https://rosstat.gov.ru/free_doc/new_site/perepis2010/croc/Documents/Vol4/pub-04-05.pdf,https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BF%D1%81%D1%81%D0%BA%D0%B8%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA,http://web-corpora.net/wsgi3/minorlangs/view/vep,ЯО: с. 104,"https://docs.google.com/spreadsheets/d/1kTsOl6cyJcjAdF8jwTPPHWXKq2351iTv/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1GwRJxO8c3Y4iAtqY0AryBxiDNTt_VjMj/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true",
,,,,,,,,,,
финский,,,,,,,,,,
Сфера,Описание с примерами,Источник,,,,,,,,
Культура,-,-,,,,,,,,
образование,- ,-,,,,,,,,
наука ,"Были выпущены следующие словари и справочники, финско-­карельский словарь","1. ЯО: с. 105, 206",,,,,,,,
СМИ," «Carelia» – ежемесячный журнал, выходит на финском языке, но отдельные материалы публикуются на карель­ском и вепсском языках. ","1. ЯО: с. 105, 206
2. http://omamua.ru
3. https://petrsu.ru/news/2019/68022/vepsskii-yazyk--tcha
",,,,,,,,
Судо- и делопроизводство,-,-,,,,,,,,
городская среда,-,-,,,,,,,,
интернет,-,-,,,,,,,,
"документы, касающиеся языковой политики","Пункт 2 статьи 11 Конституции Республики Карелия: ""В Республике Карелия народам, проживающим на ее территории, гарантируется право на сохранение родного языка, создание условий для его изучения и развития"". Закон Республики Карелия ""О государственной поддержке карельского, вепсского и финского языков в Республике Карелия"" от 19 марта 2004 года N 759-ЗРК.","1. http://old.gov.karelia.ru/gov/Constitution/mlaw01_c.html
2. http://docs.cntd.ru/document/919316706",,,,,,,,
,,,,,,,,,,
Язык,Альтернативные названия,Самоназвание,Письменность,Витальность,Юридический статус,Общее число носителей в РФ,Диалекты / диалектные группы,Семья и ветвь ,Регион традиционного распространения,"Регионы, в которых этот язык встречается"
Финский,-,suomi,латиница,живой,неофициальный,38873,"Юго-западные, тавастские, промежуточные между юго-западными и тавастскими, южные остроботнические, средне- и северноостроботнические, северные, савоские и юго-восточные.",Прибалтийско-финская подгруппа < Финно-волжская группа < Финно-угорская ветвь < Уральская семья,Республика Карелия,https://docs.google.com/spreadsheets/d/1kTsOl6cyJcjAdF8jwTPPHWXKq2351iTv/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
,,https://www.ethnologue.com/language/fin,https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA,https://iso639-3.sil.org/code/fin,-,https://www.gks.ru/free_doc/new_site/perepis2010/croc/Documents/Vol4/pub-04-05.pdf,https://www.kotus.fi/en/on_language/dialects/finnish_dialects_7541,,,
,,,,,,,,,,
украинский,,,,,,,,,,
Сфера,Описание с примерами,Источник,,,,,,,,
культура,"Существует Карельская республиканская общественная организация общество украинской культуры ""Калина"", ансамбль украинской народной песни","https://vk.com/club76862539, https://vk.com/club81863910 ",,,,,,,,
образование,,—,,,,,,,,
наука ,—,—,,,,,,,,
СМИ,—,—,,,,,,,,
Судо- и делопроизводство,—,—,,,,,,,,
городская среда,—,—,,,,,,,,
интернет,—,—,,,,,,,,
"документы, касающиеся языковой политики",—,—,,,,,,,,
,,,,,,,,,,
Язык,Альтернативные названия,Самоназвание,Письменность,Витальность,Юридический статус,Общее число носителей в РФ,Диалекты / диалектные группы,Семья и ветвь ,Регион традиционного распространения,"Регионы, в которых этот язык встречается"
Украинский,-,Українська мова,кириллическая,живой,"Имеет статус государственного языка в Украине и в Республике Крым. В Молдавии, Румынии, Словакии и Хорватии является локальным официальным языком; в Сербии - региональным языком.",1129838,"Юго-восточное, юго-западное и северное наречия",восточнославянская группа < славянская ветвь < индоевропейская семья,Территория Украины за исключением Донецкой и Луганской областей,"Республика Карелия
Республика Коми
Республика Мордовия
Камчатский край
Владимирская область
Воронежская область
Курская область
Магаданская область
Мурманская область"
ссылки,-,https://uk.wikipedia.org/wiki/%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D1%81%D1%8C%D0%BA%D0%B0_%D0%BC%D0%BE%D0%B2%D0%B0,https://ru.wikipedia.org/wiki/%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA,https://iso639-3.sil.org/code/ukr,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA_%D1%81%D1%82%D1%80%D0%B0%D0%BD_%D0%B8_%D1%82%D0%B5%D1%80%D1%80%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%B9,_%D0%B3%D0%B4%D0%B5_%D1%83%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D1%8F%D0%B2%D0%BB%D1%8F%D0%B5%D1%82%D1%81%D1%8F_%D0%BE%D1%84%D0%B8%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC_%D1%8F%D0%B7%D1%8B%D0%BA%D0%BE%D0%BC",https://www.gks.ru/free_doc/new_site/perepis2010/croc/Documents/Vol4/pub-04-05.pdf,https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D0%B0%D0%BB%D0%B5%D0%BA%D1%82%D1%8B_%D1%83%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D1%8F%D0%B7%D1%8B%D0%BA%D0%B0,https://glottolog.org/resource/languoid/id/ukra1253,https://ru.wikipedia.org/wiki/%D0%AF%D0%B7%D1%8B%D0%BA%D0%B8_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B#/media/%D0%A4%D0%B0%D0%B9%D0%BB:Languages_in_Ukraine2.png,"https://docs.google.com/spreadsheets/d/1kTsOl6cyJcjAdF8jwTPPHWXKq2351iTv/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1tBLPrQxAQ7p6IKyOoXohNRXyD984j_ls/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/12yFtcp9MeYpjutquiYd57hSXqzhVs39-/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1VJ7rhK4BiGO3IkEULzLtYvHRYrv3UF7o/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1jz1uLRYrpWcKa0i0qftgPgQSoIk9IZ6X/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1QMcLHX44Ddkz__it0V1ui6d8QCB9Rjdv/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1wfjQeKGgH-YWUpZ14K5LJnU2DiD2XJsf/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/13yE4YbJ1yPIMtSSaLMMZAqltoWQZ7-V0/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1iADES6xVadR0JdKk26e9obWyFCrsRK9P/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1u1A_KgWDO6VF892wSo29RzNZQshfq3N2/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true"
,,,,,,,,,,
белорусский,,,,,,,,,,
Сфера,Описание с примерами,Источник,,,,,,,,
культура,Существует Сегежская общественная организация местная национально-культурная автономия белорусов Сегежи,https://vk.com/club159067341,,,,,,,,
образование,—,—,,,,,,,,
наука ,—,—,,,,,,,,
СМИ,—,—,,,,,,,,
Судо- и делопроизводство,—,—,,,,,,,,
городская среда,Мероприятия в Кондопоге — День единения России и Белоруссии.,https://www.sonar2050.org/publications/my-ochen-hotim-chtoby-v-otnosheniyah-nashih-stran-vse-bylo-maksimalno-uproshcheno/,,,,,,,,
интернет,—,—,,,,,,,,
"документы, касающиеся языковой политики",—,—,,,,,,,,
,,,,,,,,,,
Язык,Альтернативные названия,Самоназвание,Письменность,Витальность,Юридический статус,Общее число носителей в РФ,Диалекты / диалектные группы,Семья и ветвь ,Регион традиционного распространения,"Регионы, в которых этот язык встречается"
белорусский,,беларуская мова,кириллица,2 vulnerable,—,173980,,восточнославянские < славянские < индоевропейские,,"Республика Карелия
Республика Коми"
,,,,,,,,,,"https://docs.google.com/spreadsheets/d/1kTsOl6cyJcjAdF8jwTPPHWXKq2351iTv/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1tBLPrQxAQ7p6IKyOoXohNRXyD984j_ls/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true"
татарский,,,,,,,,,,
Сфера,Описание с примерами,Источник,,,,,,,,
культура,"Существует карельская региональная общественная организация ""Общество татарской культуры ""Чулпан"", а также татаро-башкирское общество ""Фирюза"" - Участники татарской и башкирской культуры «Фирюза» более 30 лет знакомят жителей нашего города и Карелии с культурой башкирского и татарского народа.","https://vk.com/club78798408, https://vk.com/club197490141 ",,,,,,,,
образование,-,-,,,,,,,,
наука ,-,-,,,,,,,,
СМИ,-,-,,,,,,,,
Судо- и делопроизводство,-,-,,,,,,,,
городская среда,"Администрация Петрозаводского городского округа и «Радио России – Карелия» реализуют совместный проект «Наш дом – Карелия», главная задача которого – познакомить жителей республики с национальными общинами, автономиями и фондами, национальными общественными организациями, действующими на территории Петрозаводска.",https://tatar-congress.org/ru/blog/nash-dom-kareliya-karelskie-tatary-rasskazali-zhitelyam-respubliki-o-natsionalno-kulturnyh-proektah/,,,,,,,,
интернет,-,-,,,,,,,,
"документы, касающиеся языковой политики",-,-,,,,,,,,
,,,,,,,,,,
Язык,Альтернативные названия,Самоназвание,Письменность,Витальность,Юридический статус,Общее число носителей в РФ,Диалекты / диалектные группы,Семья и ветвь ,Регион традиционного распространения,"Регионы, в которых этот язык встречается"
татарский,,"татар теле, tatarça, татарча","кириллица, латиница, функционально развитая ",живой,государственный язык Республики Татарстан,4280718,"центральный, западный, или мишарский, восточный",тюркская ветвь < алтайская семья,Республика Татарстан,"Республика Бурятия
Республика Карелия
Республика Коми
Республика Марий Эл
Республика Мордовия
Республика Татарстан
Чувашская Республика
Владимирская область
Мурманская область
Оренбургская область
Челябинская область
Ярославская область"
ссылки,,ЯО: с.471,ЯО: с.473,https://iling-ran.ru/web/ru/jazykirf,ЯО: с.471,ВПН 2010: Владение языками населением РФ,ЯО: с.471,WALS,,"https://docs.google.com/spreadsheets/d/1VUgNmb3Ixdj74mdlEefJadKmUhMXRu9M/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1kTsOl6cyJcjAdF8jwTPPHWXKq2351iTv/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1tBLPrQxAQ7p6IKyOoXohNRXyD984j_ls/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1k3766kSyiN_aOeZxo5nyzN5CpDKZcr4h/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/12yFtcp9MeYpjutquiYd57hSXqzhVs39-/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1qvUIW6Uhe-Hghr39lWlEo6ZluM6Y8K_h/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/195R76ilemrBBIpPr5KWdDDrfHYJobdro/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1jz1uLRYrpWcKa0i0qftgPgQSoIk9IZ6X/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1u1A_KgWDO6VF892wSo29RzNZQshfq3N2/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/18i5RwsAAAOjCdGz7eQJ8zEoxKAFhwo5q/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1bSpcLdc4Rsd2GL5auXCUlajzjmUaFw5Q/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true
https://docs.google.com/spreadsheets/d/1fjeiRUtaxrCrtIT30kkih_-WM0VTbrqy/edit?usp=sharing&ouid=115370762275408504003&rtpof=true&sd=true"
,,http://web-corpora.net/wsgi3/minorlangs/view/tt,http://web-corpora.net/wsgi3/minorlangs/view/tt,,,,,,,
