Название региона:,Республика Карелия,
наука ,"Были выпущены следующие словари и справочники: Учебный вепсско­-русско­-вепсский словарь, Новый русско­-вепс­ский словарь и Новый вепсско­-русский словарь литера­турного языка, а также разговорник вепсского языка.
Проблемами карельского и вепсского языков, его изучением и развитием занима­ются Институт языка, литературы и истории КарНЦ РАН, Петрозаводский государственный университет и Карельская государственная педаго­гическая академия.
Из современных работ об этих языках можно отметить ""Очерки вепсской диалектологии (лингвогеографический аспект)"" (Зайцева, 2016).","1. ЯО: с. 105, 206
2. https://www.elibrary.ru/item.asp?id=41460604
3. https://www.elibrary.ru/item.asp?id=27336016"
СМИ," «Kipinä» («Искорка») – детский ежемесячный, выходит также на финском и вепсском языках. С 1993 г.  на вепсском языке издается ежемесячная газета """"Kodima"""" («Родная земля») на 8 полосах тиражом 600 экземпляров. С 2009 г. на карельском языке по телевидению транслируются новости ""Viestit Karjala"" (ГТРК ""Карелия""). Некоторые новостные репортажи в этой передаче выпускаются на вепсском языке. ","1. ЯО: с. 105, 206
2. http://omamua.ru
3. https://petrsu.ru/news/2019/68022/vepsskii-yazyk--tcha
"
"законодательство, судопроизводство, делопроизводство","Вепсский может использоваться органами местного самоуправления, также в Карелии допускается возможность ведения официального делопроизводства, а также публикации законов и других нормативно-правовых актов на карельском и вепсском. На самом деле, это право не реализуется, используется только русский язык. На вепсский переведена Всеобщая декларация прав человека.","1. ЯО: с. 106, 207
2. http://docs.cntd.ru/document/919316706
3. http://www.indigenous.ru/dec/dec_kar.pdf
4. http://www.indigenous.ru/dec/dec_vep.pdf"
городская среда,"Названия сел и деревень бывшей Вепсской нацио­нальной волости Карелии, находящейся на границе с Ленинградской областью, можно прочитать на двух язы­ках – русском и вепсском. ","ЯО: с. 106, 207"
интернет,"В социальной сети ""Вконтакте"" существуют сообщества, посвящённые изучению вепсского. 
Были разработаны дистанционные курсы для изучения вепсского.
Под руководском Н. Г. Зайцевой создан ""Корпус вепсского языка"". ","https://vk.com/everydayveps, http://rkperiodika.ru/sobytiya/2015-god/item/715-kursy-karelskogo-i-vepsskogo-yazykov-teper-v-internete, http://vepsian.krc.karelia.ru/about/  "
"документы, касающиеся языковой политики в конкретном регионе","Пункт 2 статьи 11 Конституции Республики Карелия: ""В Республике Карелия народам, проживающим на ее территории, гарантируется право на сохранение родного языка, создание условий для его изучения и развития"". Закон Республики Карелия ""О государственной поддержке карельского, вепсского и финского языков в Республике Карелия"" от 19 марта 2004 года N 759-ЗРК.","1. http://old.gov.karelia.ru/gov/Constitution/mlaw01_c.html
2. http://docs.cntd.ru/document/919316706"
,,
финский,,
Сфера,Описание с примерами,Источник
искусство,-,-
образование,- ,-
наука ,"Были выпущены следующие словари и справочники, финско-­карельский словарь","1. ЯО: с. 105, 206"
СМИ," «Carelia» – ежемесячный журнал, выходит на финском языке, но отдельные материалы публикуются на карель­ском и вепсском языках. ","1. ЯО: с. 105, 206
2. http://omamua.ru
3. https://petrsu.ru/news/2019/68022/vepsskii-yazyk--tcha
"
"законодательство, судопроизводство, делопроизводство",-,-
городская среда,-,-
интернет,-,-
"документы, касающиеся языковой политики в конкретном регионе","Пункт 2 статьи 11 Конституции Республики Карелия: ""В Республике Карелия народам, проживающим на ее территории, гарантируется право на сохранение родного языка, создание условий для его изучения и развития"". Закон Республики Карелия ""О государственной поддержке карельского, вепсского и финского языков в Республике Карелия"" от 19 марта 2004 года N 759-ЗРК.","1. http://old.gov.karelia.ru/gov/Constitution/mlaw01_c.html
2. http://docs.cntd.ru/document/919316706"
,,
украинский,,
Сфера,Описание с примерами,Источник
культура,"Существует Карельская республиканская общественная организация общество украинской культуры ""Калина"", ансамбль украинской народной песни","https://vk.com/club76862539, https://vk.com/club81863910 "
образование,,—
наука ,—,—
СМИ,—,—
"законодательство, судопроизводство, делопроизводство",—,—
городская среда,—,—
интернет,—,—
"документы, касающиеся языковой политики в конкретном регионе",—,—
,,
белорусский,,
Сфера,Описание с примерами,Источник
культура,Существует Сегежская общественная организация местная национально-культурная автономия белорусов Сегежи,https://vk.com/club159067341
образование,—,—
наука ,—,—
СМИ,—,—
"законодательство, судопроизводство, делопроизводство",—,—
городская среда,Мероприятия в Кондопоге — День единения России и Белоруссии.,https://www.sonar2050.org/publications/my-ochen-hotim-chtoby-v-otnosheniyah-nashih-stran-vse-bylo-maksimalno-uproshcheno/
интернет,—,—
"документы, касающиеся языковой политики в конкретном регионе",—,—
